"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Dec-2023","EQ","2,520.15","2,544.50","2,515.00","2,522.90","2,541.00","2,535.50","2,535.79","2,769.65","2,393.00","19,69,036","4,99,30,51,994.95","78,786"
"15-Dec-2023","EQ","2,520.00","2,532.00","2,507.00","2,516.35","2,529.95","2,522.90","2,516.53","2,769.65","2,393.00","25,43,337","6,40,03,81,434.45","1,20,790"
"14-Dec-2023","EQ","2,521.35","2,524.80","2,501.20","2,511.90","2,518.95","2,516.35","2,511.51","2,769.65","2,393.00","21,66,569","5,44,13,56,840.55","1,55,414"
"13-Dec-2023","EQ","2,507.85","2,516.70","2,498.05","2,502.75","2,515.70","2,511.90","2,507.48","2,769.65","2,393.00","15,13,205","3,79,43,36,609.75","87,891"
"12-Dec-2023","EQ","2,500.00","2,518.00","2,497.00","2,503.65","2,502.00","2,502.75","2,504.24","2,769.65","2,393.00","16,77,929","4,20,19,31,973.25","1,16,074"
"11-Dec-2023","EQ","2,522.30","2,529.95","2,499.00","2,522.30","2,503.70","2,503.65","2,504.76","2,769.65","2,393.00","20,12,243","5,04,01,83,070.55","1,09,950"
"08-Dec-2023","EQ","2,519.00","2,533.95","2,508.30","2,518.25","2,525.30","2,522.30","2,520.65","2,769.65","2,393.00","16,05,805","4,04,76,78,332.20","1,32,487"
"07-Dec-2023","EQ","2,551.10","2,559.80","2,498.60","2,567.65","2,522.15","2,518.25","2,515.87","2,769.65","2,393.00","39,25,967","9,87,72,23,350.00","1,96,009"
"06-Dec-2023","EQ","2,570.00","2,583.70","2,563.00","2,563.25","2,572.00","2,567.65","2,572.82","2,769.65","2,393.00","15,73,754","4,04,89,84,327.70","1,00,288"
"05-Dec-2023","EQ","2,637.00","2,637.00","2,556.30","2,602.30","2,563.00","2,563.25","2,582.73","2,769.65","2,393.00","31,08,717","8,02,89,82,941.65","1,92,832"
"04-Dec-2023","EQ","2,577.00","2,608.40","2,575.00","2,563.65","2,602.00","2,602.30","2,595.39","2,769.65","2,393.00","21,88,039","5,67,88,16,004.15","1,19,825"
"01-Dec-2023","EQ","2,547.50","2,581.95","2,542.00","2,545.55","2,559.00","2,563.65","2,565.15","2,769.65","2,393.00","13,45,599","3,45,16,62,652.70","78,669"
"30-Nov-2023","EQ","2,516.15","2,554.50","2,516.15","2,525.05","2,541.00","2,545.55","2,541.51","2,769.65","2,393.00","30,95,684","7,86,77,20,589.35","1,27,967"
"29-Nov-2023","EQ","2,512.00","2,528.65","2,508.10","2,510.55","2,525.10","2,525.05","2,519.77","2,769.65","2,393.00","12,65,214","3,18,80,44,143.80","75,937"
"28-Nov-2023","EQ","2,531.75","2,531.75","2,500.00","2,515.20","2,502.55","2,510.55","2,517.23","2,769.65","2,393.00","18,80,641","4,73,40,14,890.55","86,811"
"24-Nov-2023","EQ","2,515.10","2,519.80","2,507.45","2,519.90","2,515.45","2,515.20","2,514.56","2,769.65","2,393.00","7,35,137","1,84,85,42,856.80","49,055"
