"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Dec-2023","EQ","3,496.00","3,506.00","3,466.00","3,488.00","3,486.00","3,491.60","3,479.20","3,506.00","2,050.10","17,67,429","6,14,92,37,941.30","1,12,884"
"15-Dec-2023","EQ","3,435.15","3,498.90","3,432.85","3,433.10","3,491.35","3,488.00","3,469.47","3,498.90","2,050.10","26,32,935","9,13,48,80,376.50","1,45,130"
"14-Dec-2023","EQ","3,425.95","3,440.00","3,400.10","3,399.80","3,436.00","3,433.10","3,421.15","3,440.00","2,050.10","24,25,646","8,29,84,93,111.00","1,88,077"
"13-Dec-2023","EQ","3,352.95","3,410.00","3,346.20","3,342.40","3,395.00","3,399.80","3,378.34","3,430.00","2,050.10","15,09,107","5,09,82,78,098.20","1,11,338"
"12-Dec-2023","EQ","3,375.00","3,375.00","3,332.00","3,385.80","3,345.00","3,342.40","3,348.94","3,430.00","2,050.10","18,88,423","6,32,42,22,801.75","1,47,602"
"11-Dec-2023","EQ","3,377.95","3,405.00","3,360.00","3,378.45","3,381.95","3,385.80","3,381.94","3,430.00","2,050.10","15,34,238","5,18,87,07,144.10","94,181"
"08-Dec-2023","EQ","3,377.00","3,430.00","3,366.00","3,355.60","3,380.00","3,378.45","3,394.19","3,430.00","2,050.10","24,28,891","8,24,41,26,175.55","1,73,664"
"07-Dec-2023","EQ","3,392.30","3,409.90","3,337.05","3,392.30","3,372.00","3,355.60","3,363.60","3,409.90","2,050.10","21,28,823","7,16,05,11,364.30","1,50,669"
"06-Dec-2023","EQ","3,330.00","3,401.00","3,321.00","3,315.45","3,387.00","3,392.30","3,368.39","3,401.00","2,050.10","20,57,233","6,92,95,58,413.90","1,53,461"
"05-Dec-2023","EQ","3,319.05","3,325.00","3,279.05","3,313.55","3,319.00","3,315.45","3,302.14","3,347.55","2,050.10","16,59,309","5,47,92,77,569.90","1,36,656"
"04-Dec-2023","EQ","3,285.00","3,347.55","3,250.00","3,190.65","3,316.05","3,313.55","3,303.15","3,347.55","2,050.10","30,95,974","10,22,64,61,999.60","2,21,889"
"01-Dec-2023","EQ","3,129.95","3,197.95","3,121.05","3,109.20","3,184.15","3,190.65","3,180.47","3,197.95","2,038.60","21,12,908","6,72,00,44,602.10","1,44,549"
"30-Nov-2023","EQ","3,076.30","3,124.55","3,058.70","3,083.75","3,119.80","3,109.20","3,100.60","3,124.55","2,038.60","31,31,624","9,70,99,16,076.10","1,29,023"
"29-Nov-2023","EQ","3,050.00","3,089.90","3,049.00","3,050.00","3,080.95","3,083.75","3,069.07","3,115.45","2,038.60","18,01,107","5,52,77,19,695.65","1,64,191"
"28-Nov-2023","EQ","3,054.00","3,059.15","3,035.00","3,054.25","3,053.00","3,050.00","3,047.65","3,115.45","2,038.60","12,10,508","3,68,92,01,964.25","1,18,447"
"24-Nov-2023","EQ","3,050.00","3,067.00","3,039.60","3,045.65","3,051.80","3,054.25","3,054.65","3,115.45","2,007.00","9,15,121","2,79,53,74,360.60","92,885"
"23-Nov-2023","EQ","3,080.00","3,088.00","3,031.05","3,082.30","3,051.15","3,045.65","3,052.05","3,115.45","2,007.00","15,14,688","4,62,29,00,408.75","1,15,869"
"22-Nov-2023","EQ","3,074.85","3,088.65","3,062.50","3,074.85","3,080.50","3,082.30","3,078.17","3,115.45","2,007.00","11,04,208","3,39,89,34,900.40","92,685"
"21-Nov-2023","EQ","3,088.50","3,099.00","3,062.45","3,088.80","3,075.00","3,074.85","3,078.23","3,115.45","2,007.00","18,84,782","5,80,17,93,867.50","1,19,729"
"20-Nov-2023","EQ","3,095.10","3,111.95","3,076.20","3,109.00","3,087.00","3,088.80","3,088.51","3,115.45","2,007.00","12,31,164","3,80,24,61,160.45","1,08,214"
"17-Nov-2023","EQ","3,050.00","3,115.45","3,045.15","3,051.15","3,106.25","3,109.00","3,084.02","3,115.45","1,978.10","13,25,050","4,08,64,81,461.95","1,18,480"
"16-Nov-2023","EQ","3,057.95","3,082.10","3,045.00","3,064.95","3,050.00","3,051.15","3,061.15","3,114.95","1,978.10","15,97,607","4,89,05,10,637.00","1,23,277"
"15-Nov-2023","EQ","3,062.35","3,071.05","3,055.00","3,048.50","3,063.00","3,064.95","3,064.04","3,114.95","1,978.10","11,60,184","3,55,48,47,097.20","87,513"
"13-Nov-2023","EQ","3,050.00","3,054.35","3,031.65","3,052.00","3,041.85","3,048.50","3,043.91","3,114.95","1,978.10","5,31,769","1,61,86,57,587.55","60,874"
"12-Nov-2023","EQ","3,054.95","3,060.00","3,044.00","3,033.25","3,052.00","3,052.00","3,053.31","3,114.95","1,970.20","2,56,389","78,28,34,657.80","23,797"
"10-Nov-2023","EQ","3,021.05","3,044.00","3,005.25","3,024.85","3,030.55","3,033.25","3,028.87","3,114.95","1,970.20","9,47,753","2,87,06,18,749.70","77,016"
"09-Nov-2023","EQ","3,003.00","3,028.70","2,997.00","2,996.45","3,026.45","3,024.85","3,018.81","3,114.95","1,970.20","17,19,911","5,19,20,86,619.60","1,24,752"
"08-Nov-2023","EQ","2,974.70","3,002.75","2,961.00","2,961.30","2,998.00","2,996.45","2,983.72","3,114.95","1,970.20","10,13,438","3,02,38,16,500.10","80,527"
"07-Nov-2023","EQ","2,970.00","2,983.60","2,956.10","2,975.45","2,963.00","2,961.30","2,969.65","3,114.95","1,970.20","11,12,206","3,30,28,58,116.85","95,718"
"06-Nov-2023","EQ","2,933.00","2,979.00","2,927.25","2,911.25","2,971.70","2,975.45","2,962.32","3,114.95","1,970.20","12,35,499","3,65,99,42,862.60","1,02,669"
"03-Nov-2023","EQ","2,934.00","2,948.05","2,905.00","2,918.10","2,918.90","2,911.25","2,921.04","3,114.95","1,970.20","11,36,175","3,31,88,15,498.85","1,03,154"
"02-Nov-2023","EQ","2,935.00","2,937.85","2,903.20","2,895.30","2,921.00","2,918.10","2,915.22","3,114.95","1,970.20","14,51,606","4,23,17,49,361.00","1,13,151"
"01-Nov-2023","EQ","2,947.45","2,983.15","2,871.05","2,929.05","2,894.00","2,895.30","2,919.87","3,114.95","1,970.20","38,75,595","11,31,62,50,112.10","2,46,412"
"31-Oct-2023","EQ","2,929.95","2,951.55","2,907.95","2,926.35","2,923.00","2,929.05","2,925.45","3,114.95","1,970.20","15,56,467","4,55,33,61,115.30","1,20,033"
"30-Oct-2023","EQ","2,899.20","2,932.00","2,856.15","2,901.90","2,927.35","2,926.35","2,910.87","3,114.95","1,970.20","16,93,052","4,92,82,57,289.00","1,06,664"
"27-Oct-2023","EQ","2,864.65","2,910.55","2,857.65","2,864.60","2,909.00","2,901.90","2,893.54","3,114.95","1,891.55","23,99,538","6,94,31,49,814.40","1,59,869"
"26-Oct-2023","EQ","2,906.00","2,916.15","2,857.05","2,916.10","2,864.45","2,864.60","2,874.72","3,114.95","1,891.55","32,86,109","9,44,66,52,077.60","2,84,482"
"25-Oct-2023","EQ","2,959.00","2,965.50","2,910.30","2,958.30","2,919.95","2,916.10","2,934.72","3,114.95","1,891.55","21,08,353","6,18,74,27,022.45","1,63,245"
"23-Oct-2023","EQ","3,003.00","3,006.90","2,949.00","3,012.35","2,961.50","2,958.30","2,974.68","3,114.95","1,891.55","16,14,030","4,80,12,23,909.20","1,19,364"
"20-Oct-2023","EQ","3,039.95","3,056.25","2,977.30","3,054.40","3,017.00","3,012.35","3,013.38","3,114.95","1,867.10","16,67,471","5,02,47,16,358.20","1,53,002"
"19-Oct-2023","EQ","3,025.60","3,069.90","3,007.15","3,045.60","3,055.00","3,054.40","3,043.34","3,114.95","1,867.10","15,99,104","4,86,66,15,367.25","1,25,551"
"18-Oct-2023","EQ","3,068.65","3,079.15","3,037.15","3,066.30","3,044.75","3,045.60","3,048.72","3,114.95","1,867.10","13,50,839","4,11,83,23,336.20","92,252"
"17-Oct-2023","EQ","3,109.90","3,114.20","3,063.00","3,101.90","3,068.00","3,066.30","3,076.66","3,114.95","1,867.10","18,47,182","5,68,31,46,686.70","76,344"
"16-Oct-2023","EQ","3,098.95","3,113.25","3,074.70","3,089.60","3,098.20","3,101.90","3,094.06","3,114.95","1,867.10","8,18,794","2,53,34,01,165.10","80,754"
"13-Oct-2023","EQ","3,067.75","3,099.00","3,063.50","3,081.75","3,090.00","3,089.60","3,082.24","3,114.95","1,858.05","14,37,808","4,43,16,63,157.95","1,64,036"
"12-Oct-2023","EQ","3,094.00","3,105.05","3,067.05","3,088.70","3,082.95","3,081.75","3,080.04","3,114.95","1,858.05","18,70,280","5,76,05,41,448.35","1,48,950"
"11-Oct-2023","EQ","3,090.00","3,110.00","3,084.40","3,076.00","3,087.20","3,088.70","3,097.38","3,114.95","1,858.05","20,66,921","6,40,20,30,884.85","88,805"
"10-Oct-2023","EQ","3,073.85","3,099.00","3,072.15","3,074.70","3,075.00","3,076.00","3,086.11","3,114.95","1,858.05","15,51,789","4,78,89,88,638.20","1,22,031"
