Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-November-2024,2433.00,2439.95,2406.00,2410.80,2426.730202437407577380,39222,4327,95181212.00,22541,57.47,33.95,-22.20
18-November-2024,2403.25,2425.45,2375.65,2423.45,2395.715413990626627321,23044,2588,55206866.00,9048,39.26,49.80,20.20
14-November-2024,2463.50,2464.95,2383.30,2389.05,2404.063284615459416357,102837,11580,247226656.00,17305,16.83,81.65,-74.45
13-November-2024,2461.50,2472.00,2449.35,2464.75,2462.604972703536672205,16852,2173,41499819.00,4649,27.59,22.65,3.25
12-November-2024,2505.95,2505.95,2456.30,2461.35,2470.126462178320769430,15388,2348,38010306.00,6277,40.79,49.65,-44.60
11-November-2024,2510.00,2516.05,2475.55,2490.65,2500.900656215822092599,32916,2881,82319646.00,16877,51.27,40.50,-19.35
8-November-2024,2480.00,2515.15,2467.20,2507.50,2501.059677642395095493,130166,8551,325552934.00,36260,27.86,47.95,27.50
7-November-2024,2508.85,2508.85,2466.70,2475.60,2479.543808922149868791,41156,6579,102048105.00,20366,49.48,42.15,-33.25
6-November-2024,2510.35,2521.20,2495.85,2501.35,2505.913893574605121913,39126,3270,98046387.00,16517,42.21,25.35,-9.00
5-November-2024,2521.00,2529.65,2507.00,2521.20,2516.983220613572659243,77774,6908,195755853.00,56839,73.08,22.65,0.20
4-November-2024,2540.00,2548.70,2503.30,2525.90,2525.012803135221145062,67874,6865,171382719.00,40443,59.59,45.40,-14.10
1-November-2024,2550.05,2550.05,2515.00,2538.35,2536.968382861091914305,5788,1216,14683973.00,4199,72.55,35.05,-11.70
31-October-2024,2564.55,2564.55,2523.05,2527.50,2530.893477629636799186,165308,13866,418376939.00,25885,15.66,41.50,-37.05
30-October-2024,2550.00,2562.95,2533.95,2554.95,2553.601801868880533114,26861,3934,68592298.00,12307,45.82,29.00,4.95
29-October-2024,2589.95,2589.95,2536.25,2549.20,2551.166851754082542919,54929,2822,140133044.00,38480,70.05,53.70,-40.75
28-October-2024,2547.95,2589.20,2521.60,2575.25,2561.979093636507184588,31665,3009,81125068.00,16050,50.69,67.60,27.30
