Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-May-2025,1847.00,1869.65,1825.45,1866.80,1842.853696253715620424,340791,13437,628027954.00,207348,60.84,44.20,19.80
14-May-2025,1831.00,1870.00,1820.75,1834.40,1831.841926015012787452,1794337,9422,3286941746.00,,,49.25,3.40
13-May-2025,1874.85,1883.60,1817.10,1820.95,1833.753033388734130792,256314,13965,470016575.00,127618,49.79,66.50,-53.90
12-May-2025,1865.00,1882.50,1854.70,1872.20,1870.203228330750464149,65173,2767,121886755.00,25343,38.89,27.80,7.20
9-May-2025,1840.00,1870.45,1836.50,1848.25,1848.607778013020695495,151144,4522,279405974.00,128640,85.11,33.95,8.25
8-May-2025,1891.15,1905.45,1861.65,1872.70,1884.374153584953210905,150783,4472,284131588.00,126295,83.76,43.80,-18.45
7-May-2025,1900.00,1916.90,1875.00,1895.95,1900.452959174315750860,119949,5676,227957432.00,69715,58.12,41.90,-4.05
6-May-2025,1881.00,1912.00,1881.00,1901.15,1901.075085384707388490,225743,6894,429154393.00,112726,49.94,31.00,20.15
5-May-2025,1860.35,1873.35,1849.40,1865.45,1863.718639069849435483,124797,4643,232586495.00,96930,77.67,23.95,5.10
2-May-2025,1863.65,1884.00,1832.90,1852.00,1856.813712656038150451,128334,8285,238292331.00,93932,73.19,51.10,-11.65
30-April-2025,1841.50,1877.10,1826.80,1863.70,1847.895728115740351971,250077,7961,462116220.00,172875,69.13,50.30,22.20
29-April-2025,1829.95,1848.00,1818.00,1823.85,1827.065370780801511463,137615,3999,251431601.00,89152,64.78,30.00,-6.10
28-April-2025,1831.05,1838.30,1812.90,1820.90,1820.160679054153538090,67918,2301,123621673.00,46673,68.72,25.40,-10.15
25-April-2025,1845.10,1860.55,1806.80,1815.60,1827.388676335379778746,67434,3951,123228128.00,32113,47.62,53.75,-29.50
24-April-2025,1881.00,1881.00,1840.00,1844.80,1852.398004822650902302,102848,5410,190515430.00,52017,50.58,41.00,-36.20
23-April-2025,1855.05,1885.45,1836.00,1881.70,1855.628520469761826363,182220,7120,338132629.00,128868,70.72,49.45,26.65
22-April-2025,1893.95,1893.95,1837.00,1852.00,1849.441615037307738011,1775637,17165,3283936961.00,1583359,89.17,56.95,-41.95
21-April-2025,1895.25,1904.20,1868.00,1883.60,1878.531917035843737414,198640,9204,373151580.00,125238,63.05,36.20,-11.65
17-April-2025,1831.60,1897.95,1825.55,1889.20,1866.812256026919131917,271034,16214,505969593.00,173411,63.98,72.40,57.60
16-April-2025,1803.15,1826.75,1794.20,1823.00,1804.059237124274916505,62579,4177,112896223.00,44852,71.67,32.55,19.85
15-April-2025,1800.05,1818.00,1779.45,1798.75,1800.204699926803914452,325154,9438,585343759.00,258630,79.54,38.55,-1.30
11-April-2025,1756.15,1767.05,1732.40,1757.30,1757.448125500950230122,198373,9637,348630257.00,127808,64.43,34.65,1.15
9-April-2025,1720.00,1727.10,1711.90,1715.70,1719.156153112330073932,16772,1575,28833687.00,5867,34.98,15.20,-4.30
8-April-2025,1725.85,1742.70,1707.05,1720.00,1724.535923892176520419,164083,13300,282967028.00,43789,26.69,35.65,-5.85
7-April-2025,1705.05,1774.05,1669.55,1687.85,1712.721366662096909320,131298,7467,224876890.00,29519,22.48,104.50,-17.20
4-April-2025,1741.75,1770.25,1740.00,1743.25,1755.001716114979703640,60602,5477,106356614.00,26359,43.50,30.25,1.50
3-April-2025,1736.90,1753.00,1735.65,1745.70,1744.010544901662661238,40778,3200,71117262.00,17971,44.07,17.35,8.80
2-April-2025,1721.95,1760.00,1718.90,1754.75,1748.626393981779004271,26453,2096,46256414.00,7543,28.51,41.10,32.80
1-April-2025,1719.95,1765.35,1712.85,1723.90,1741.010279269415915054,115086,7368,200365909.00,31717,27.56,52.50,3.95
28-March-2025,1735.00,1746.00,1703.05,1730.95,1729.515217763495805402,75931,5263,131323820.00,40456,53.28,42.95,-4.05
27-March-2025,1740.40,1746.45,1717.05,1723.35,1733.986469351663385498,59938,2922,103931681.00,28505,47.56,29.40,-17.05
26-March-2025,1736.55,1764.60,1726.30,1737.55,1744.125774590718441347,110865,7355,193362504.00,37610,33.92,38.30,1.00
25-March-2025,1726.00,1740.00,1706.35,1733.70,1728.046978094484032726,128826,7801,222617380.00,48138,37.37,33.65,7.70
24-March-2025,1741.05,1741.05,1715.40,1718.30,1728.441848678653312417,124305,7773,214853964.00,88395,71.11,25.65,-22.75
21-March-2025,1705.30,1731.55,1691.70,1726.30,1714.407407407407407407,92394,6384,158400958.00,42907,46.44,39.85,21.00
20-March-2025,1665.25,1709.60,1645.70,1704.95,1684.990398171080205753,104980,5341,176890292.00,40316,38.40,63.90,39.70
19-March-2025,1634.95,1642.05,1627.75,1636.65,1634.721899098157103646,61208,5242,100058058.00,29334,47.93,14.30,1.70
18-March-2025,1647.00,1655.00,1622.00,1628.15,1633.785280246689642662,110260,9002,180141165.00,44512,40.37,33.00,-18.85
17-March-2025,1619.95,1647.60,1619.95,1639.40,1639.494123827133611118,1625718,7174,2665355108.00,1505178,92.59,27.65,19.45
13-March-2025,1664.95,1664.95,1630.70,1632.85,1644.624234483151508246,35107,3454,57737823.00,10744,30.60,34.25,-32.10
12-March-2025,1704.95,1717.25,1634.00,1642.60,1659.718054350968488002,442752,11135,734843488.00,253450,57.24,83.25,-62.35
11-March-2025,1625.10,1676.10,1624.95,1661.20,1658.246236432279377064,84760,6094,140552951.00,26701,31.50,51.15,36.10
10-March-2025,1656.85,1656.85,1625.85,1629.70,1639.689992731365330957,85298,5814,139862277.00,40559,47.55,31.00,-27.15
7-March-2025,1630.05,1639.00,1616.20,1631.45,1627.859703400664791613,39110,5564,63665593.00,18460,47.20,22.80,1.40
6-March-2025,1619.95,1631.85,1590.50,1626.85,1614.969614857664789161,32845,3523,53043677.00,9885,30.10,41.35,6.90
5-March-2025,1576.00,1626.50,1576.00,1616.60,1613.371495702714400544,80865,6130,130465286.00,39478,48.82,50.50,40.60
4-March-2025,1591.95,1591.95,1568.30,1575.95,1575.993729950422863808,41148,5326,64848990.00,12914,31.38,23.65,-16.00
3-March-2025,1587.25,1602.45,1573.75,1594.60,1589.622482089504288881,62254,5004,98960358.00,23655,38.00,28.70,7.35
28-February-2025,1645.05,1646.40,1561.00,1569.60,1586.479623539051564224,87871,5184,139405551.00,39313,44.74,85.40,-75.45
27-February-2025,1641.75,1655.50,1639.60,1649.70,1649.361291563792605893,155935,5336,257193153.00,98182,62.96,15.90,7.95
25-February-2025,1600.80,1649.00,1600.00,1641.60,1634.951458907773982468,194392,11082,317821484.00,62793,32.30,49.00,40.80
24-February-2025,1625.05,1637.50,1599.00,1600.80,1610.946161393181260730,57078,5306,91949585.00,15141,26.53,38.50,-24.25
21-February-2025,1640.45,1658.30,1629.60,1638.40,1635.689089773855158843,2009995,7203,3287726892.00,1945059,96.77,28.70,-2.05
20-February-2025,1642.60,1649.85,1627.20,1645.20,1631.814002261393023002,816311,8052,1332067720.00,767161,93.98,22.65,2.60
19-February-2025,1669.00,1674.70,1638.50,1645.90,1653.744683341472963646,495518,3099,819460258.00,453218,91.46,36.20,-23.10
18-February-2025,1690.50,1695.00,1656.15,1668.40,1664.172036938514077830,672902,10072,1119824692.00,533037,79.21,38.85,-22.10
17-February-2025,1716.95,1716.95,1665.90,1675.55,1689.386513469181755094,126808,23026,214227725.00,62473,49.27,51.05,-41.40
14-February-2025,1723.95,1724.15,1705.00,1717.15,1714.275722207552152099,94675,8049,162299054.00,50008,52.82,19.15,-6.80
13-February-2025,1711.50,1728.70,1704.00,1713.75,1719.185295634431265275,89198,7517,153347890.00,46213,51.81,24.70,2.25
12-February-2025,1700.60,1713.45,1684.00,1711.60,1701.017668349366606343,41996,4725,71435938.00,14917,35.52,29.45,11.00
11-February-2025,1702.10,1706.45,1686.15,1696.00,1697.686711006269926206,178471,10611,302987845.00,57254,32.08,20.30,-6.10
10-February-2025,1690.25,1699.50,1678.35,1692.85,1690.081958593493263227,152150,8265,257145970.00,45906,30.17,21.15,2.60
7-February-2025,1649.95,1708.00,1638.75,1677.80,1687.579281423068304290,468565,60373,790740586.00,88719,18.93,69.25,27.85
6-February-2025,1672.10,1672.10,1614.00,1619.55,1633.919978823114178709,50999,5179,83328285.00,15013,29.44,58.10,-52.55
5-February-2025,1663.10,1676.25,1649.15,1660.60,1658.517830272356560106,705766,4509,1170525495.00,676965,95.92,27.10,-2.50
4-February-2025,1660.00,1668.00,1628.85,1661.30,1655.227891766353304814,117117,8916,193855325.00,41348,35.30,39.15,1.30
3-February-2025,1629.85,1661.00,1608.00,1652.05,1644.835499069887436012,73647,6566,121137200.00,31954,43.39,53.00,22.20
