Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-May-2025,3324.00,3477.55,3323.95,3445.70,3434.459570332530779486,204763,13629,703250245.00,70868,34.61,153.60,121.70
8-May-2025,3321.40,3365.50,3301.60,3320.60,3339.042094564737074679,113150,9570,377812613.00,54315,48.00,63.90,-0.80
7-May-2025,3312.05,3339.95,3284.60,3322.10,3315.455195444620456394,70071,6937,232317261.00,41295,58.93,55.35,10.05
6-May-2025,3345.00,3350.00,3303.00,3334.45,3315.928885974651098675,134207,3305,445020868.00,101160,75.38,47.00,-10.55
5-May-2025,3350.00,3350.00,3301.00,3328.35,3324.902382260723405630,30937,2843,102862505.00,14896,48.15,49.00,-21.65
2-May-2025,3320.35,3375.00,3320.10,3329.35,3351.259245887039510897,83091,4828,278459482.00,54974,66.16,54.90,9.00
30-April-2025,3322.30,3354.95,3316.00,3340.55,3340.457031436530043772,62825,5940,209864213.00,38372,61.08,38.95,18.25
29-April-2025,3330.45,3376.45,3315.40,3324.45,3346.457875386996904024,103360,7527,345889886.00,56790,54.94,61.05,-6.00
28-April-2025,3260.00,3350.00,3255.00,3327.80,3316.647094581289223366,116799,8006,387381064.00,75496,64.64,95.00,67.80
25-April-2025,3314.65,3334.85,3231.30,3272.15,3265.058879925492720474,73013,5614,238391744.00,37979,52.02,103.55,-42.50
24-April-2025,3300.20,3308.00,3280.10,3300.55,3292.826767177793717603,73889,3479,243303677.00,57210,77.43,27.90,0.35
23-April-2025,3269.60,3314.70,3268.30,3299.50,3289.127495107632093933,112420,7213,369763713.00,50131,44.59,46.40,29.90
22-April-2025,3279.15,3285.00,3250.00,3259.75,3266.896249778878471607,45224,5006,147742116.00,16278,35.99,35.00,-19.40
21-April-2025,3245.05,3290.00,3223.65,3279.20,3269.102963463825223250,42889,3949,140208557.00,16811,39.20,66.35,34.15
17-April-2025,3228.15,3250.00,3163.60,3246.50,3202.530915695353664378,100208,9029,320919218.00,44994,44.90,86.40,18.35
16-April-2025,3260.20,3276.00,3223.70,3228.15,3259.859991646511447193,102951,4891,335605846.00,70046,68.04,52.30,-32.05
15-April-2025,3170.15,3271.90,3170.15,3257.40,3248.104589490024722589,139144,11397,451954265.00,72185,51.88,101.75,87.25
11-April-2025,3149.95,3156.00,3100.10,3117.05,3125.529684504614287200,134582,10186,420640036.00,65110,48.38,55.90,-32.90
9-April-2025,3155.15,3158.00,3049.80,3059.10,3092.936792358231860174,229371,25844,709430005.00,133016,57.99,108.20,-96.05
8-April-2025,3120.05,3194.25,3092.05,3161.20,3142.906403511101164171,263621,19405,828536129.00,110262,41.83,102.20,41.15
7-April-2025,3099.95,3099.95,2967.65,3070.85,3045.846044665232529773,180364,17254,549360976.00,97737,54.19,132.30,-29.10
4-April-2025,3413.75,3413.75,3238.00,3259.20,3273.824394701515470086,123658,11101,404834577.00,76853,62.15,175.75,-154.55
3-April-2025,3397.00,3463.30,3395.00,3418.70,3435.545067928471899674,68896,4977,236695313.00,43604,63.29,68.30,21.70
2-April-2025,3434.80,3456.10,3410.00,3421.65,3432.802280794501925836,39723,3136,136361205.00,21687,54.60,46.10,-13.15
1-April-2025,3485.00,3500.35,3430.60,3435.85,3453.372211089969185175,118774,9387,410170831.00,60802,51.19,69.75,-49.15
28-March-2025,3519.00,3519.00,3473.50,3491.00,3488.141780714741390724,83079,6207,289791331.00,47880,57.63,45.50,-28.00
27-March-2025,3455.05,3528.00,3452.55,3503.30,3512.684433079622563610,150171,9464,527503334.00,104348,69.49,75.45,48.25
26-March-2025,3469.70,3495.70,3418.80,3442.60,3456.182448417623332299,103136,8593,356456833.00,63125,61.21,76.90,-27.10
25-March-2025,3507.00,3525.65,3436.60,3469.70,3471.105456076968129561,151959,11543,527465714.00,88528,58.26,89.05,-37.30
24-March-2025,3464.35,3515.90,3438.60,3481.10,3483.234992347201132493,165299,10417,575775261.00,107350,64.94,77.30,16.75
21-March-2025,3350.30,3454.40,3333.10,3417.35,3421.150218549874388278,137726,6831,471181335.00,106450,77.29,121.30,67.05
